Values of DeltaT = ET - UT
at 0h UT of the date (specified as day, month, year)
from  The Astronomical Almanac 1999, pages K8-9 http://maia.usno.navy.mil/ser7/deltat.data
----------------------------------------------
 1 11 2002  64.4329
 1 12 2002  64.4511
 1  1 2003  64.4734
 1  2 2003  64.4893
 1  3 2003  64.5053
 1  4 2003  64.5269
 1  5 2003  64.5471
 1  6 2003  64.5597
 1  7 2003  64.5512
 1  8 2003  64.5371
 1  9 2003  64.5359
 1 10 2003  64.5415
 1 11 2003  64.5544
 1 12 2003  64.5654
 1  1 2004  64.5736
 1  2 2004  64.5891
 1  3 2004  64.6015
 1  4 2004  64.6176
 1  5 2004  64.6374
 1  6 2004  64.6549
 1  7 2004  64.6530
 1  8 2004  64.6379
 1  9 2004  64.6372
 1 10 2004  64.6400
 1 11 2004  64.6543
 1 12 2004  64.6723
 1  1 2005  64.6876
 1  2 2005  64.7052
 1  3 2005  64.7313
 1  4 2005  64.7575
 1  5 2005  64.7811
 1  6 2005  64.8001
 1  7 2005  64.7995
 1  8 2005  64.7876
 1  9 2005  64.7831
 1 10 2005  64.7921
 1 11 2005  64.8096
 1 12 2005  64.8311
 1  1 2006  64.8452
 1  2 2006  64.8597
 1  3 2006  64.8850
 1  4 2006  64.9175
 1  5 2006  64.9480
 1  6 2006  64.9794
 1  7 2006  64.9895
 1  8 2006  65.0028
 1  9 2006  65.0138
 1 10 2006  65.0371
 1 11 2006  65.0773
 1 12 2006  65.1122
 1  1 2007  65.1464
 1  2 2007  65.1833
 1  3 2007  65.2145
 1  4 2007  65.2494
 1  5 2007  65.2921
 1  6 2007  65.3279
 1  7 2007  65.3413
 1  8 2007  65.3452
 1  9 2007  65.3496
 1 10 2007  65.3711
 1 11 2007  65.3972
 1 12 2007  65.4296
 1  1 2008  65.4573
 1  2 2008  65.4868
 1  3 2008  65.5152
 1  4 2008  65.5450
 1  5 2008  65.5781
 1  6 2008  65.6127
 1  7 2008  65.6288
 1  8 2008  65.6370
 1  9 2008  65.6493
 1 10 2008  65.6760
 1 11 2008  65.7097
 1 12 2008  65.7461
 1  1 2009  65.7768
 1  2 2009  65.8025
 1  3 2009  65.8237
 1  4 2009  65.8595
 1  5 2009  65.8973
 1  6 2009  65.9323
 1  7 2009  65.9509
 1  8 2009  65.9534
 1  9 2009  65.9628
 1 10 2009  65.9839
 1 11 2009  66.0147
 1 12 2009  66.0420
 1  1 2010  66.0699
 1  2 2010  66.0961
 1  3 2010  66.1310
 1  4 2010  66.1683
 1  5 2010  66.2072
 1  6 2010  66.2356
 1  7 2010  66.2409
 1  8 2010  66.2335
 1  9 2010  66.2349
 1 10 2010  66.2441
 1 11 2010  66.2751
 1 12 2010  66.3054
 1  1 2011  66.3246
 1  2 2011  66.3406
 1  3 2011  66.3624
 1  4 2011  66.3957
 1  5 2011  66.4289
 1  6 2011  66.4619
 1  7 2011  66.4749
 1  8 2011  66.4751
 1  9 2011  66.4829
 1 10 2011  66.5056
 1 11 2011  66.5383
 1 12 2011  66.5706
 1  1 2012  66.6030
 1  2 2012  66.6340
 1  3 2012  66.6569
 1  4 2012  66.6925
 1  5 2012  66.7289
 1  6 2012  66.7579
 1  7 2012  66.7708
 1  8 2012  66.7740
 1  9 2012  66.7846
 1 10 2012  66.8103
 1 11 2012  66.8400
 1 12 2012  66.8779
 1  1 2013  66.9069
 1  2 2013  66.9443
 1  3 2013  66.9763
 1  4 2013  67.0258
 1  5 2013  67.0716
 1  6 2013  67.1100
